kewords,Label,Question,Answer,topic,sub-topic,source 
,,What were the sources of atmospheric nutrients to Tianchi Lake?,The primary sources of atmospheric nutrients to Tianchi Lake were air pollutants from urban agglomeration and dust derived from semi-arid region,,,
,,How was the fertilization effect on phytoplankton expected to change due to high atmospheric deposition?,"The fertilization effect on phytoplankton was expected to be promoted due to high atmospheric deposition, but unbalanced NP ratio would exacerbate the P limitation of primary productivity",,,
,,How do rising temperatures affect Alpine lakes?,"Rising temperatures increase mineral weathering, glacier melting, and hydrological connectivity, thereby increasing ion and nutrient concentrations",,,
,,How has an increase in phytoplankton biomass been observed in Alpine lakes?,Significant increase in phytoplankton biomass has been reported for many Alpine lakes,,,
,,How do higher metabolic rates of organisms and longer growing seasons caused by warming temperature affect biochemical changes?,Higher metabolic rates of organisms and longer growing seasons caused by warming temperature can lead to increased variability in biochemical processes,,,
,,How does atmospheric deposition represent a key driver of ecosystem change in alpine lakes?,"Atmospheric nitrogen deposition in many mountain regions has been increased by more than an order of magnitude beyond background levels, resulting in a shift in the trophic type of alpine aquatic ecosystems In addition, if atmospheric deposition is enriched with phosphorus, it may increase the productivity and biomass accumulation in the context of widespread phosphorus limitation",,,
,,What has been shown to be the outcome of atmospheric deposition on alpine lakes?,"Atmospheric deposition has been shown to alter nutrient availability and stoichiometry in alpine lakes, which may induce water quality degradation, particularly in water acidification and eutrophication",,,
,,What is the natural environment of Tianchi Lake?,Tianchi Lake is an alpine lake located in a national nature reserve on the central Tianshan Mountains and is also known as a national forest park and a World Heritage Site,,,
,,What is the purpose of this study?,"The purpose of this study is to determine the sources and rates of atmospheric nutrient deposition and its effects on nutrient stoichiometry, assess the effects of climate warming and nutrient enrichment on eutrophication, and estimate the critical nutrient load and required nutrient reductions to recover the expected water quality",,,
,,What kind of data is being used in the study?,"This study is using a dataset of atmospheric chemistry and meteorology, as well as the long-term limnological data consisting of a set of biotic and abiotic parameters",,,
,,What is the location of Tianchi Lake?,Tianchi lake is located about 40 km east of Urumqi in the central Tianshan Mountains,,,
,,What is the average water temperature of the lake?,The mean water temperature of the lake is 74 degrees Celsius,,,
,,What kind of vegetation is found in the watershed area?,"The vegetation in the watershed area is characterized by a mixture of coniferous forests, alpine meadows, and shrubs",,,
